Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
13639,9,2.0,58.59438304484495,29.092546756584287,9.0,6,15.0,2007,0.161531741,B,B,25,5648,1,30.0,2,4,B
1499,27,3.0,84.72014941664493,84.70274776361636,1.0,9,12.0,2016,0.072157581,B,B,2,629,1,1213.0677966101696,0,0,A
6995,2,3.0,78.03654971878008,47.78048972243412,10.0,8,17.0,1990,0.0,B,B,33,7425,1,1213.0677966101696,2,5,B
9433,23,1.0,31.22986415181169,35.35612880818179,1.0,14,12.0,2018,0.034656082,B,B,0,168,0,1213.0677966101696,0,0,B
9489,142,1.0,37.046918295911325,23.861619696718925,9.0,8,16.0,1974,0.051942062,B,B,17,4017,7,800.0,2,0,B
6607,0,1.0,34.78944991938816,19.943391410732428,5.0,6,5.0,1961,0.319809354,B,B,25,4756,16,2857.0,5,8,B
2850,23,3.0,78.37488475899826,35.35612880818179,1.0,25,25.0,1977,0.075778755,B,B,6,1437,3,1213.0677966101696,0,2,B
11609,32,2.0,56.97598363222389,34.58081538186071,10.0,15,22.0,2010,0.135649789,B,B,46,7960,6,350.0,3,11,B
3934,57,2.0,46.765074375634384,32.82121274068997,5.0,3,5.0,1963,0.133215333,B,B,49,11395,3,1406.0,3,4,A
15707,73,2.0,48.304146453118754,27.61691588018336,5.0,4,5.0,1965,0.042031587,B,B,37,6856,84,1940.0,2,5,B
11787,30,1.0,45.36350172161536,35.35612880818179,1.0,18,18.0,2015,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
84,48,1.0,34.77677114839062,18.463897055672508,5.0,4,9.0,1981,0.041124634,B,B,46,9515,5,1213.0677966101696,1,10,B
8962,6,1.0,42.47427319421176,35.35612880818179,0.0,8,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
3457,67,1.0,38.8060165398644,26.259672226430705,7.0,6,5.0,2012,0.100455735,B,B,43,7227,0,1213.0677966101696,1,6,A
2343,119,1.0,35.64458288090695,22.99131673208244,5.0,7,9.0,1964,0.000995363,B,B,42,7651,1,1213.0677966101696,1,5,B
5038,58,2.0,53.19004149713789,10.816032672663471,9.0,15,14.0,2005,0.050755569,B,B,24,5469,1,145.0,0,1,B
13801,23,1.0,41.88776945000716,35.35612880818179,1.0,7,17.0,1977,0.075778755,B,B,6,1437,3,1213.0677966101696,0,2,B
12615,58,2.0,47.45035557899129,24.767868376573315,8.0,8,14.0,1972,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
3211,61,1.0,41.29781347594799,22.985637010686503,7.0,15,17.0,2011,0.300322518,B,B,52,10311,6,1213.0677966101696,1,9,B
11545,58,2.0,66.30408574572843,35.35612880818179,1.0,5,3.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4392,1,1.0,50.12441454430577,35.35612880818179,1.0,18,24.0,1977,0.007122317,B,B,1,264,0,1213.0677966101696,0,1,B
12153,119,2.0,64.24633266598383,37.70865306519389,8.0,2,9.0,1962,0.000995363,B,B,42,7651,1,1213.0677966101696,1,5,B
13258,94,1.0,32.81533648860806,22.544629273571537,6.0,6,9.0,1972,0.282797669,B,B,33,8667,2,1213.0677966101696,0,6,B
11180,84,3.0,77.57669799017502,45.82113770220788,10.0,5,17.0,1983,0.006076152,B,B,30,5285,0,645.0,6,6,B
13860,176,2.0,56.3910159448731,35.832227756663215,7.0,1,5.0,1960,0.08761909,B,B,8,1497,5,1213.0677966101696,1,0,B
12578,23,2.0,65.27726764082085,35.35612880818179,1.0,3,17.0,1977,0.075778755,B,B,6,1437,3,1213.0677966101696,0,2,B
976,25,1.0,33.86332584745452,32.41952725897953,10.0,3,22.0,2016,0.069753361,B,B,53,13670,4,1213.0677966101696,1,11,B
7510,44,2.0,54.39922301983204,32.995435802809595,8.0,18,16.0,1985,0.122190486,B,B,25,4724,2,1308.0,1,3,B
12535,23,2.0,90.90922848612573,51.89949113642831,14.0,23,25.0,2012,0.075778755,B,B,6,1437,3,1213.0677966101696,0,2,B
9987,77,3.0,58.1274540581186,36.2121401134112,6.0,7,9.0,1974,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
986,14,3.0,59.20473797317043,61.85813386585731,5.0,6,9.0,1976,0.042031587,B,B,37,6856,84,1940.0,2,5,B
15046,129,2.0,58.1988100583595,29.06373897309013,12.0,13,16.0,1980,0.051942062,B,B,17,4017,7,800.0,2,0,B
12165,96,4.0,89.28455077012781,56.17451756289377,10.0,9,9.0,2002,0.041116354,B,B,53,14892,4,1213.0677966101696,1,4,B
14734,27,1.0,35.77139226246007,35.35612880818179,0.0,7,0.0,1977,0.011654127,B,B,4,915,0,1213.0677966101696,0,0,B
5428,27,2.0,62.32604379639152,35.35612880818179,61.0,12,17.0,1977,0.072157581,B,B,2,629,1,1213.0677966101696,0,0,A
15208,184,3.0,125.53817797753705,126.4730348064992,1.0,8,6.0,2014,0.246623602,B,B,14,2940,45,1213.0677966101696,3,6,B
1698,13,3.0,77.95697471613137,47.30688819728535,10.0,19,22.0,2001,0.090799103,B,B,74,19083,2,1213.0677966101696,5,15,B
8676,124,3.0,94.78320843935086,53.60025686792451,10.0,18,22.0,2004,0.122090347,B,B,29,6566,7,1894.0,4,0,B
160,70,1.0,35.1465209872266,23.86211230003187,6.0,10,9.0,1976,0.002211665,B,B,39,7614,3,1213.0677966101696,1,5,A
2932,8,3.0,77.28883816109399,46.86865030792946,10.0,13,16.0,1984,0.458174486,B,A,26,4439,1,1130.0,1,5,B
11082,1,1.0,41.40048585227235,42.25089555907528,0.0,4,17.0,1977,0.007122317,B,B,1,264,0,1213.0677966101696,0,1,B
11577,61,2.0,51.13145655687615,30.33128596972229,6.0,9,9.0,1977,0.300322518,B,B,52,10311,6,1213.0677966101696,1,9,B
13187,30,1.0,96.14639392203196,81.32980827830714,5.0,12,39.0,2012,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
8860,167,2.0,71.00673046165267,69.01066476613677,1.0,4,10.0,2015,0.051942062,B,B,17,4017,7,800.0,2,0,B
11286,1,2.0,62.16728312575921,35.35612880818179,0.0,11,22.0,1977,0.007122317,B,B,1,264,0,1213.0677966101696,0,1,B
16660,74,2.0,45.88170224800432,30.80602387532218,5.0,2,5.0,1966,0.371148999,B,B,34,7065,1,750.0,2,5,B
13921,123,1.0,35.21087661610032,18.64767411406101,10.0,6,16.0,2003,0.0,B,B,47,11319,0,1145.0,3,5,B
1186,1,2.0,64.26638747004529,35.35612880818179,1.0,3,17.0,1977,0.007122317,B,B,1,264,0,1213.0677966101696,0,1,B
11906,196,2.0,66.28446815336552,5.8960241377514615,1.0,22,24.0,1977,0.0,B,B,30,7538,87,4702.0,5,5,B
5396,164,1.0,39.94622673930564,22.99451555252517,7.0,16,17.0,2004,0.486245621,B,B,13,2514,19,1213.0677966101696,0,6,B
1781,27,3.0,82.36401543559012,35.35612880818179,1.0,9,12.0,1977,0.072157581,B,B,2,629,1,1213.0677966101696,0,0,A
4572,27,2.0,47.22022643156378,35.35612880818179,0.0,5,0.0,1977,0.072157581,B,B,2,629,1,1213.0677966101696,0,0,A
15759,17,2.0,57.6018699737095,37.74474320489497,10.0,78,22.0,1989,0.0,B,B,25,5027,4,46.0,1,1,B
14199,23,1.0,42.24123578321651,35.35612880818179,1.0,15,17.0,1977,0.075778755,B,B,6,1437,3,1213.0677966101696,0,2,B
3520,83,1.0,44.05236661286487,23.189031883359963,8.0,7,12.0,1978,0.0077202819999999,B,B,38,4788,2,1213.0677966101696,0,4,B
9252,60,1.0,39.89978215258242,21.20862967248341,8.0,4,12.0,1975,0.21843974,B,B,21,4472,6,1450.0,4,7,A
12254,45,1.0,39.58597946776947,39.512575423856894,9.0,5,17.0,2017,0.195781053,B,B,23,5212,6,1213.0677966101696,3,2,B
11323,27,2.0,55.96043001435466,52.22549911331085,10.0,18,20.0,1977,0.011654127,B,B,4,915,0,1213.0677966101696,0,0,B
10373,1,1.0,38.89771635355892,38.79296579690328,1.0,7,17.0,2018,0.007122317,B,B,1,264,0,1213.0677966101696,0,1,B
13733,58,2.0,51.55587134432648,32.09611426304366,6.0,3,9.0,1970,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
10435,67,2.0,52.1193655125217,33.24378032009347,6.0,8,12.0,1979,0.100455735,B,B,43,7227,0,1213.0677966101696,1,6,A
3286,94,1.0,32.646326121498326,20.94696327208617,6.0,10,9.0,1971,0.282797669,B,B,33,8667,2,1213.0677966101696,0,6,B
9455,120,3.0,93.513052697782,35.35612880818179,1.0,7,1.0,1977,0.341071945,B,B,27,5664,48,2300.0,3,11,B
10896,21,2.0,44.835016139438665,30.72815667426836,5.0,3,5.0,1963,0.034331497,B,B,25,5487,3,1213.0677966101696,0,4,B
